project_id,window_id,from_tag,to_tag,ancestry_status,eligible_for_baseline_poc,human_developers,zero_churn_human_developers,recomputed_total_commits,frozen_total_commits,recomputed_total_added,frozen_total_added,recomputed_total_deleted,frozen_total_deleted,recomputed_total_churn,frozen_total_churn,recomputed_top1_share_churn_12dp,frozen_top1_share_churn_6dp,recomputed_gini_churn_12dp,frozen_gini_churn_6dp,c1_top1_share_churn_6dp,c1_gini_churn_6dp,sum_exact_shares_12dp,sum_metric_value_ppm,ppm_sum_deviation_from_scale,developer_rows_valid,totals_match,ownership_summary_matches,c1_source_values_match,window_metadata_match,window_validation_status
flask,flask_W01,3.0.0,3.0.1,non_ancestral,false,5,0,20,20,761,761,587,587,1348,1348,0.980712166172,0.980712,0.784866468843,0.784866,0.980712,0.784866,1.000000000000,999999,-1,true,true,true,true,true,pass
flask,flask_W02,3.0.1,3.0.2,ancestral,true,3,0,4,4,23,23,5,5,28,28,0.428571428571,0.428571,0.166666666667,0.166667,0.428571,0.166667,1.000000000000,999999,-1,true,true,true,true,true,pass
flask,flask_W03,3.0.2,3.0.3,ancestral,true,2,0,6,6,453,453,333,333,786,786,0.916030534351,0.916031,0.416030534351,0.416031,0.916031,0.416031,1.000000000000,1000000,0,true,true,true,true,true,pass
flask,flask_W04,3.0.3,3.1.0,ancestral,true,16,0,69,69,1513,1513,988,988,2501,2501,0.958416633347,0.958417,0.917507996801,0.917508,0.958417,0.917508,1.000000000000,1000003,3,true,true,true,true,true,pass
flask,flask_W05,3.1.0,3.1.1,ancestral,true,8,0,21,21,2041,2041,997,997,3038,3038,0.981566820276,0.981567,0.862574061883,0.862574,0.981567,0.862574,1.000000000000,1000000,0,true,true,true,true,true,pass
flask,flask_W06,3.1.1,3.1.2,ancestral,true,6,0,20,20,978,978,825,825,1803,1803,0.977814753189,0.977815,0.819652431133,0.819652,0.977815,0.819652,1.000000000000,1000000,0,true,true,true,true,true,pass
flask,flask_W07,3.1.2,3.1.3,ancestral,true,5,0,16,16,2100,2100,1331,1331,3431,3431,0.990964733314,0.990965,0.792771786651,0.792772,0.990965,0.792772,1.000000000000,1000001,1,true,true,true,true,true,pass
gin,gin_W01,v1.8.1,v1.8.2,ancestral,true,4,0,4,4,107,107,38,38,145,145,0.489655172414,0.489655,0.305172413793,0.305172,0.489655,0.305172,1.000000000000,1000000,0,true,true,true,true,true,pass
gin,gin_W02,v1.8.2,v1.9.0,non_ancestral,false,32,0,54,54,4122,4122,3607,3607,7729,7729,0.631000129383,0.631000,0.901446661923,0.901447,0.631000,0.901447,1.000000000000,1000001,1,true,true,true,true,true,pass
gin,gin_W03,v1.9.0,v1.9.1,ancestral,true,10,0,11,11,315,315,281,281,596,596,0.421140939597,0.421141,0.600335570470,0.600336,0.421141,0.600336,1.000000000000,999999,-1,true,true,true,true,true,pass
gin,gin_W04,v1.9.1,v1.10.0,ancestral,true,34,0,54,54,1269,1269,339,339,1608,1608,0.248756218905,0.248756,0.702882645596,0.702883,0.248756,0.702883,1.000000000000,1000001,1,true,true,true,true,true,pass
gin,gin_W05,v1.10.0,v1.10.1,ancestral,true,1,0,1,1,14,14,3,3,17,17,1.000000000000,1.000000,0.000000000000,0.000000,1.000000,0.000000,1.000000000000,1000000,0,true,true,true,true,true,pass
gin,gin_W06,v1.10.1,v1.11.0,non_ancestral,false,61,0,105,105,4848,4848,1905,1905,6753,6753,0.236487487043,0.236487,0.743853976253,0.743854,0.236487,0.743854,1.000000000000,999995,-5,true,true,true,true,true,pass
gin,gin_W07,v1.11.0,v1.12.0,ancestral,true,35,0,66,66,3232,3232,863,863,4095,4095,0.321123321123,0.321123,0.707859759288,0.707860,0.321123,0.707860,1.000000000000,999998,-2,true,true,true,true,true,pass
junit5,junit5_W01,r6.0.0,r5.14.1,non_ancestral,false,10,0,205,205,7857,7857,3587,3587,11444,11444,0.753320517302,0.753321,0.827420482349,0.827420,0.753321,0.827420,1.000000000000,999999,-1,true,true,true,true,true,pass
