project_id,window_id,from_tag,to_tag,duration_days,is_short_lt_1d,is_short_lt_7d,is_short_lt_14d,analysis_set,total_commits,total_added,total_deleted,total_churn,unique_authors,mean_endpoint_code_lines,mean_endpoint_kloc,commits_per_day,added_per_day,deleted_per_day,churn_per_day,churn_per_kloc_day
junit5,junit5_W01,r6.0.0,r5.14.1,31.270926,False,False,False,primary,205,7857,3587,11444,10,132747.500000,132.747500,6.555610,251.255752,114.707189,365.962940,2.756835
junit5,junit5_W02,r5.14.1,r6.0.1,0.134826,True,True,True,sensitivity_only,671,27483,23189,50672,20,132853.500000,132.853500,4976.770538,203839.917589,171991.552923,375831.470512,2828.916592
junit5,junit5_W03,r6.0.1,r5.14.2,66.891331,False,False,False,primary,285,132885,129007,261892,12,132766.000000,132.766000,4.260642,1986.580293,1928.605666,3915.185959,29.489372
junit5,junit5_W04,r5.14.2,r6.0.2,0.034352,True,True,True,sensitivity_only,805,154201,148865,303066,21,132848.500000,132.848500,23433.962264,4488870.080863,4333536.388140,8822406.469003,66409.530172
junit5,junit5_W05,r6.0.2,r5.14.3,39.870463,False,False,False,primary,295,133017,129071,262088,13,132850.500000,132.850500,7.398961,3336.229131,3237.258622,6573.487753,49.480339
junit5,junit5_W06,r5.14.3,r6.0.3,0.030324,True,True,True,sensitivity_only,816,154492,148955,303447,21,132884.500000,132.884500,26909.312977,5094698.015267,4912103.816794,10006801.832061,75304.507539
junit5,junit5_W07,r6.0.3,r5.14.4,69.909537,False,False,False,primary,309,133247,129176,262423,16,132919.500000,132.919500,4.419998,1905.991738,1847.759340,3753.751078,28.240785
prettier,prettier_W01,3.7.1,3.7.2,1.393322,False,True,True,sensitivity_only,12,796,198,994,6,112748.500000,112.748500,8.612512,571.296612,142.106444,713.403055,6.327384
prettier,prettier_W02,3.7.2,3.7.3,0.872280,True,True,True,sensitivity_only,7,259,85,344,2,112833.000000,112.833000,8.024945,296.922975,97.445764,394.368739,3.495154
prettier,prettier_W03,3.7.3,3.7.4,3.445278,False,True,True,sensitivity_only,16,2284,1528,3812,2,112998.000000,112.998000,4.644038,662.936386,443.505603,1106.441990,9.791695
prettier,prettier_W04,3.7.4,3.8.0,42.806169,False,False,False,primary,19,1186,261,1447,2,113169.000000,113.169000,0.443861,27.706287,6.097252,33.803539,0.298700
prettier,prettier_W05,3.8.0,3.8.1,6.741991,False,True,True,sensitivity_only,9,398,277,675,2,113180.500000,113.180500,1.334917,59.033009,41.085788,100.118797,0.884594
prettier,prettier_W06,3.8.1,3.8.2,78.364560,False,False,False,primary,5,352,63,415,1,113195.500000,113.195500,0.063804,4.491826,0.803935,5.295761,0.046784
prettier,prettier_W07,3.8.2,3.8.3,4.934525,False,True,True,sensitivity_only,8,262,168,430,2,113213.000000,113.213000,1.621230,53.095278,34.045827,87.141105,0.769709
requests,requests_W01,v2.30.0,v2.31.0,18.987500,False,False,False,primary,5,59,11,70,3,7972.500000,7.972500,0.263331,3.107307,0.579329,3.686636,0.462419
requests,requests_W02,v2.31.0,v2.32.0,364.017002,False,False,False,primary,69,1324,271,1595,30,8135.000000,8.135000,0.189552,3.637193,0.744471,4.381663,0.538619
