project_id,window_id,from_tag,to_tag,duration_days,is_short_lt_1d,is_short_lt_7d,is_short_lt_14d,analysis_set
click,click_W01,8.1.6,8.1.7,29.892269,False,False,False,primary
click,click_W02,8.1.7,8.1.8,489.986620,False,False,False,primary
click,click_W03,8.1.8,8.2.0,142.217014,False,False,False,primary
click,click_W04,8.2.0,8.2.1,10.036273,False,False,True,primary
click,click_W05,8.2.1,8.2.2,70.225521,False,False,False,primary
click,click_W06,8.2.2,8.3.0,45.047836,False,False,False,primary
click,click_W07,8.3.0,8.3.1,63.623542,False,False,False,primary
flask,flask_W01,3.0.0,3.0.1,110.230417,False,False,False,primary
flask,flask_W02,3.0.1,3.0.2,16.045394,False,False,False,primary
flask,flask_W03,3.0.2,3.0.3,63.928125,False,False,False,primary
flask,flask_W04,3.0.3,3.1.0,219.958657,False,False,False,primary
flask,flask_W05,3.1.0,3.1.1,180.856111,False,False,False,primary
flask,flask_W06,3.1.1,3.1.2,98.253426,False,False,False,primary
flask,flask_W07,3.1.2,3.1.3,183.332523,False,False,False,primary
requests,requests_W01,v2.30.0,v2.31.0,18.987500,False,False,False,primary
requests,requests_W02,v2.31.0,v2.32.0,364.017002,False,False,False,primary
requests,requests_W03,v2.32.0,v2.32.1,0.264271,True,True,True,sensitivity_only
requests,requests_W04,v2.32.1,v2.32.2,0.861725,True,True,True,sensitivity_only
requests,requests_W05,v2.32.2,v2.32.3,7.866655,False,False,True,primary
requests,requests_W06,v2.32.3,v2.32.4,376.043472,False,False,False,primary
requests,requests_W07,v2.32.4,v2.32.5,70.154711,False,False,False,primary
urllib3,urllib3_W01,2.2.3,2.3.0,100.871308,False,False,False,primary
urllib3,urllib3_W02,2.3.0,2.4.0,109.307627,False,False,False,primary
urllib3,urllib3_W03,2.4.0,2.5.0,68.957558,False,False,False,primary
urllib3,urllib3_W04,2.5.0,2.6.0,170.047083,False,False,False,primary
urllib3,urllib3_W05,2.6.0,2.6.1,3.001100,False,True,True,sensitivity_only
urllib3,urllib3_W06,2.6.1,2.6.2,3.027002,False,True,True,sensitivity_only
urllib3,urllib3_W07,2.6.2,2.6.3,27.023750,False,False,False,primary
brew,brew_W01,5.1.1,5.1.2,7.067824,False,False,True,primary
brew,brew_W02,5.1.2,5.1.3,0.826516,True,True,True,sensitivity_only
brew,brew_W03,5.1.3,5.1.4,5.852824,False,True,True,sensitivity_only
brew,brew_W04,5.1.4,5.1.5,1.677627,False,True,True,sensitivity_only
brew,brew_W05,5.1.5,5.1.6,6.005602,False,True,True,sensitivity_only
brew,brew_W06,5.1.6,5.1.7,4.531655,False,True,True,sensitivity_only
brew,brew_W07,5.1.7,5.1.8,8.964560,False,False,True,primary
curl,curl_W01,curl-8_14_0,curl-8_14_1,7.000139,False,False,True,primary
curl,curl_W02,curl-8_14_1,curl-8_15_0,42.027778,False,False,False,primary
curl,curl_W03,curl-8_15_0,curl-8_16_0,55.973414,False,False,False,primary
curl,curl_W04,curl-8_16_0,curl-8_17_0,56.053426,False,False,False,primary
curl,curl_W05,curl-8_17_0,curl-8_18_0,62.997975,False,False,False,primary
curl,curl_W06,curl-8_18_0,curl-8_19_0,62.992581,False,False,False,primary
curl,curl_W07,curl-8_19_0,curl-8_20_0,48.957523,False,False,False,primary
gin,gin_W01,v1.8.1,v1.8.2,199.026215,False,False,False,primary
gin,gin_W02,v1.8.2,v1.9.0,60.820220,False,False,False,primary
gin,gin_W03,v1.9.0,v1.9.1,99.712361,False,False,False,primary
gin,gin_W04,v1.9.1,v1.10.0,341.039838,False,False,False,primary
gin,gin_W05,v1.10.0,v1.10.1,378.257002,False,False,False,primary
gin,gin_W06,v1.10.1,v1.11.0,123.086748,False,False,False,primary
gin,gin_W07,v1.11.0,v1.12.0,160.938507,False,False,False,primary
junit5,junit5_W01,r6.0.0,r5.14.1,31.270926,False,False,False,primary
junit5,junit5_W02,r5.14.1,r6.0.1,0.134826,True,True,True,sensitivity_only
junit5,junit5_W03,r6.0.1,r5.14.2,66.891331,False,False,False,primary
junit5,junit5_W04,r5.14.2,r6.0.2,0.034352,True,True,True,sensitivity_only
junit5,junit5_W05,r6.0.2,r5.14.3,39.870463,False,False,False,primary
junit5,junit5_W06,r5.14.3,r6.0.3,0.030324,True,True,True,sensitivity_only
junit5,junit5_W07,r6.0.3,r5.14.4,69.909537,False,False,False,primary
prettier,prettier_W01,3.7.1,3.7.2,1.393322,False,True,True,sensitivity_only
prettier,prettier_W02,3.7.2,3.7.3,0.872280,True,True,True,sensitivity_only
prettier,prettier_W03,3.7.3,3.7.4,3.445278,False,True,True,sensitivity_only
prettier,prettier_W04,3.7.4,3.8.0,42.806169,False,False,False,primary
prettier,prettier_W05,3.8.0,3.8.1,6.741991,False,True,True,sensitivity_only
prettier,prettier_W06,3.8.1,3.8.2,78.364560,False,False,False,primary
prettier,prettier_W07,3.8.2,3.8.3,4.934525,False,True,True,sensitivity_only
tokio,tokio_W01,tokio-1.47.3,tokio-1.49.0,0.577118,True,True,True,sensitivity_only
tokio,tokio_W02,tokio-1.49.0,tokio-1.50.0,58.986782,False,False,False,primary
tokio,tokio_W03,tokio-1.50.0,tokio-1.47.4,30.105833,False,False,False,primary
tokio,tokio_W04,tokio-1.47.4,tokio-1.51.0,0.854155,True,True,True,sensitivity_only
tokio,tokio_W05,tokio-1.51.0,tokio-1.51.1,5.080312,False,True,True,sensitivity_only
tokio,tokio_W06,tokio-1.51.1,tokio-1.52.0,6.346030,False,True,True,sensitivity_only
