"project_id","tag_name","commit_hash","tag_date","total_lines","blank_lines","comment_lines","code_lines"
"brew","5.1.1","894a3d23ac0c8aaf561b9874b528b9cb2e839201","2026-03-23 03:14:37 +0000","280788","49108","18607","213073"
"brew","5.1.2","aa3933a4271380c7f9b1d63f63e3b141b15d6185","2026-03-30 04:52:17 +0000","285706","49739","18665","217302"
"brew","5.1.3","3a946229d190966cd725d5cc65e272d279a398ed","2026-03-31 00:42:28 +0000","288141","50226","19420","218495"
"brew","5.1.4","968378a218ba485371a8a849185f05a8b534bda7","2026-04-05 21:10:32 +0000","284134","49683","19434","215017"
"brew","5.1.5","ac782bcd32ff3fb93fbac38ee5785dd2ccd95bad","2026-04-07 13:26:19 +0000","284952","49792","19455","215705"
"brew","5.1.6","299ab19496df6fc76e8356c0b87100ff91ef827e","2026-04-13 13:34:23 +0000","286442","49994","19479","216969"
"brew","5.1.7","3aae056b8d072624255bc8fd27febb7f327b2265","2026-04-18 02:19:58 +0000","289242","50436","19742","219064"
"brew","5.1.8","b9763ee5280dc1acb3036383b3608084eebac6b7","2026-04-27 01:28:56 +0000","291684","50823","19872","220989"
"click","8.1.6","3793f5b2d79d5999552b970bf17c37588efcf008","2023-07-18 13:00:26 -0700","17548","3487","607","13454"
"click","8.1.7","874ca2bc1c30d93a4ac6e36a15ed685eafe89097","2023-08-17 10:25:18 -0700","17551","3487","607","13457"
"click","8.1.8","934813e4d421071a1b3db3973c02fe2721359a6e","2024-12-19 18:06:02 +0100","17829","3543","634","13652"
"click","8.2.0","219206a18666624072fdbb803901e5eb7ce575a1","2025-05-10 15:18:32 -0700","18989","3792","671","14526"
"click","8.2.1","fd183b2ced1cb5857784fe7fb22f4982f671f098","2025-05-20 19:10:46 -0400","19103","3813","675","14615"
"click","8.2.2","f7cdff5cfc614f34025d1fc238642be029dca1f3","2025-07-29 21:35:31 -0700","19645","3850","742","15053"
"click","8.3.0","00fadb8904387158ce6e9aa1573be770446895c1","2025-09-12 22:44:24 -0700","21214","3995","949","16270"
"click","8.3.1","1d038f270701498433cb432f54db89f95f07a845","2025-11-15 12:42:18 -0800","21563","4044","1015","16504"
"curl","curl-8_14_0","4dacb79fcdd9364c1083e06f6a011d797a344f47","2025-05-28 07:41:40 +0200","323348","38505","60270","224573"
"curl","curl-8_14_1","fdb8a789d2b446b77bd7cdd2eff95f6cbc814cf4","2025-06-04 07:41:52 +0200","323460","38530","60232","224698"
"curl","curl-8_15_0","cfbfb65047e85e6b08af65fe9cdbcf68e9ad496a","2025-07-16 08:21:52 +0200","317246","37789","59479","219978"
"curl","curl-8_16_0","11b991232fbcaa88e2b1faecac224416b0001e35","2025-09-10 07:43:35 +0200","319021","38004","59485","221532"
"curl","curl-8_17_0","400fffa90f30c7a2dc762fa33009d24851bd2016","2025-11-05 08:00:31 +0100","320247","38095","59633","222519"
"curl","curl-8_18_0","2eebc58c4b8d68c98c8344381a9f6df4cca838fd","2026-01-07 07:57:36 +0100","319110","36849","59601","222660"
"curl","curl-8_19_0","8c908d2d0a6d32abdedda2c52e90bd56ec76c24d","2026-03-11 07:46:55 +0100","315467","36260","59140","220067"
"curl","curl-8_20_0","a05f34973e6c4bb629d018f7cb51487be1c904d8","2026-04-29 07:45:45 +0200","322714","36902","60074","225738"
"flask","3.0.0","735a4701d6d5e848241e7d7535db898efb62d400","2023-09-30 15:26:06 +0100","17384","4013","785","12586"
"flask","3.0.1","f622b1cadea2bed4ea4cc476695e9c181ec5da11","2024-01-18 11:57:54 -0800","17515","4040","790","12685"
"flask","3.0.2","d2030595dcdc8ca5701504f00255360fb12a3a2b","2024-02-03 13:03:16 -0800","17523","4042","791","12690"
"flask","3.0.3","c12a5d874c5a014495eb2db8a73f40037bc813ac","2024-04-07 12:19:46 -0700","17565","4047","796","12722"
"flask","3.1.0","ab8149664182b662453a563161aa89013c806dc9","2024-11-13 10:20:14 -0800","17868","4112","800","12956"
