project_id,window_id,window_index,from_tag,to_tag,duration_days,analysis_set,metric_signal_id,metric_family,metric_label,unit,value
prettier,prettier_W03,3,3.7.3,3.7.4,3.445278,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,113.159000
prettier,prettier_W04,4,3.7.4,3.8.0,42.806169,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,113.179000
prettier,prettier_W05,5,3.8.0,3.8.1,6.741991,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,113.182000
prettier,prettier_W06,6,3.8.1,3.8.2,78.364560,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,113.209000
prettier,prettier_W07,7,3.8.2,3.8.3,4.934525,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,113.217000
requests,requests_W01,1,v2.30.0,v2.31.0,18.987500,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,7.981000
requests,requests_W02,2,v2.31.0,v2.32.0,364.017002,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.289000
requests,requests_W03,3,v2.32.0,v2.32.1,0.264271,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.289000
requests,requests_W04,4,v2.32.1,v2.32.2,0.861725,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.315000
requests,requests_W05,5,v2.32.2,v2.32.3,7.866655,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.379000
requests,requests_W06,6,v2.32.3,v2.32.4,376.043472,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.425000
requests,requests_W07,7,v2.32.4,v2.32.5,70.154711,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.412000
tokio,tokio_W01,1,tokio-1.47.3,tokio-1.49.0,0.577118,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,92.204000
tokio,tokio_W02,2,tokio-1.49.0,tokio-1.50.0,58.986782,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,93.091000
tokio,tokio_W03,3,tokio-1.50.0,tokio-1.47.4,30.105833,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,86.235000
tokio,tokio_W04,4,tokio-1.47.4,tokio-1.51.0,0.854155,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,94.055000
tokio,tokio_W05,5,tokio-1.51.0,tokio-1.51.1,5.080312,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,94.332000
tokio,tokio_W06,6,tokio-1.51.1,tokio-1.52.0,6.346030,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,95.385000
tokio,tokio_W07,7,tokio-1.52.0,tokio-1.52.1,2.105602,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,95.257000
urllib3,urllib3_W01,1,2.2.3,2.3.0,100.871308,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,24.329000
urllib3,urllib3_W02,2,2.3.0,2.4.0,109.307627,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,24.432000
urllib3,urllib3_W03,3,2.4.0,2.5.0,68.957558,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,24.734000
urllib3,urllib3_W04,4,2.5.0,2.6.0,170.047083,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,25.159000
urllib3,urllib3_W05,5,2.6.0,2.6.1,3.001100,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,25.167000
urllib3,urllib3_W06,6,2.6.1,2.6.2,3.027002,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,25.206000
urllib3,urllib3_W07,7,2.6.2,2.6.3,27.023750,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,25.260000
brew,brew_W01,1,5.1.1,5.1.2,7.067824,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,6.306104
brew,brew_W02,2,5.1.2,5.1.3,0.826516,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,13.598255
brew,brew_W03,3,5.1.3,5.1.4,5.852824,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,8.868589
brew,brew_W04,4,5.1.4,5.1.5,1.677627,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,3.974586
brew,brew_W05,5,5.1.5,5.1.6,6.005602,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,3.318109
brew,brew_W06,6,5.1.6,5.1.7,4.531655,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,7.312934
brew,brew_W07,7,5.1.7,5.1.8,8.964560,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,1.674068
click,click_W01,1,8.1.6,8.1.7,29.892269,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.156632
click,click_W02,2,8.1.7,8.1.8,489.986620,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.481365
click,click_W03,3,8.1.8,8.2.0,142.217014,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,5.879636
click,click_W04,4,8.2.0,8.2.1,10.036273,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,19.913355
click,click_W05,5,8.2.1,8.2.2,70.225521,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,3.006551
click,click_W06,6,8.2.2,8.3.0,45.047836,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,6.646193
click,click_W07,7,8.3.0,8.3.1,63.623542,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,2.999236
curl,curl_W01,1,curl-8_14_0,curl-8_14_1,7.000139,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,5.364139
curl,curl_W02,2,curl-8_14_1,curl-8_15_0,42.027778,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,5.703326
curl,curl_W03,3,curl-8_15_0,curl-8_16_0,55.973414,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,4.353529
curl,curl_W04,4,curl-8_16_0,curl-8_17_0,56.053426,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,7.392435
curl,curl_W05,5,curl-8_17_0,curl-8_18_0,62.997975,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,6.913225
curl,curl_W06,6,curl-8_18_0,curl-8_19_0,62.992581,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,4.598739
curl,curl_W07,7,curl-8_19_0,curl-8_20_0,48.957523,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,4.734002
flask,flask_W01,1,3.0.0,3.0.1,110.230417,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.967823
flask,flask_W02,2,3.0.1,3.0.2,16.045394,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.137541
flask,flask_W03,3,3.0.2,3.0.3,63.928125,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.967658
flask,flask_W04,4,3.0.3,3.1.0,219.958657,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.885608
flask,flask_W05,5,3.1.0,3.1.1,180.856111,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,1.296783
flask,flask_W06,6,3.1.1,3.1.2,98.253426,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,1.416481
flask,flask_W07,7,3.1.2,3.1.3,183.332523,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,1.443139
gin,gin_W01,1,v1.8.1,v1.8.2,199.026215,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.053845
gin,gin_W02,2,v1.8.2,v1.9.0,60.820220,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,9.309850
gin,gin_W03,3,v1.9.0,v1.9.1,99.712361,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.434137
gin,gin_W04,4,v1.9.1,v1.10.0,341.039838,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.334077
gin,gin_W05,5,v1.10.0,v1.10.1,378.257002,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.003111
gin,gin_W06,6,v1.10.1,v1.11.0,123.086748,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,3.559114
gin,gin_W07,7,v1.11.0,v1.12.0,160.938507,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,1.481312
junit5,junit5_W01,1,r6.0.0,r5.14.1,31.270926,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,2.756835
junit5,junit5_W02,2,r5.14.1,r6.0.1,0.134826,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,2828.916592
junit5,junit5_W03,3,r6.0.1,r5.14.2,66.891331,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,29.489372
junit5,junit5_W04,4,r5.14.2,r6.0.2,0.034352,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,66409.530172
junit5,junit5_W05,5,r6.0.2,r5.14.3,39.870463,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,49.480339
junit5,junit5_W06,6,r5.14.3,r6.0.3,0.030324,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,75304.507539
junit5,junit5_W07,7,r6.0.3,r5.14.4,69.909537,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,28.240785
prettier,prettier_W01,1,3.7.1,3.7.2,1.393322,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,6.327384
prettier,prettier_W02,2,3.7.2,3.7.3,0.872280,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,3.495154
prettier,prettier_W03,3,3.7.3,3.7.4,3.445278,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,9.791695
prettier,prettier_W04,4,3.7.4,3.8.0,42.806169,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.298700
prettier,prettier_W05,5,3.8.0,3.8.1,6.741991,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.884594
prettier,prettier_W06,6,3.8.1,3.8.2,78.364560,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.046784
prettier,prettier_W07,7,3.8.2,3.8.3,4.934525,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.769709
requests,requests_W01,1,v2.30.0,v2.31.0,18.987500,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.462419
requests,requests_W02,2,v2.31.0,v2.32.0,364.017002,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.538619
requests,requests_W03,3,v2.32.0,v2.32.1,0.264271,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,5.478099
requests,requests_W04,4,v2.32.1,v2.32.2,0.861725,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,7.687967
requests,requests_W05,5,v2.32.2,v2.32.3,7.866655,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,1.995036
requests,requests_W06,6,v2.32.3,v2.32.4,376.043472,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.328531
requests,requests_W07,7,v2.32.4,v2.32.5,70.154711,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.362345
tokio,tokio_W01,1,tokio-1.47.3,tokio-1.49.0,0.577118,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,418.855246
tokio,tokio_W02,2,tokio-1.49.0,tokio-1.50.0,58.986782,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.566333
tokio,tokio_W03,3,tokio-1.50.0,tokio-1.47.4,30.105833,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.022227
tokio,tokio_W04,4,tokio-1.47.4,tokio-1.51.0,0.854155,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,348.464453
tokio,tokio_W05,5,tokio-1.51.0,tokio-1.51.1,5.080312,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.994708
tokio,tokio_W06,6,tokio-1.51.1,tokio-1.52.0,6.346030,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,4.458658
tokio,tokio_W07,7,tokio-1.52.0,tokio-1.52.1,2.105602,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,3.911153
urllib3,urllib3_W01,1,2.2.3,2.3.0,100.871308,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.849686
urllib3,urllib3_W02,2,2.3.0,2.4.0,109.307627,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,1.138472
urllib3,urllib3_W03,3,2.4.0,2.5.0,68.957558,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.624121
urllib3,urllib3_W04,4,2.5.0,2.6.0,170.047083,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,1.377626
urllib3,urllib3_W05,5,2.6.0,2.6.1,3.001100,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.397263
urllib3,urllib3_W06,6,2.6.1,2.6.2,3.027002,sensitivity_only,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.852575
urllib3,urllib3_W07,7,2.6.2,2.6.3,27.023750,primary,M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,0.467817
brew,brew_W01,1,5.1.1,5.1.2,7.067824,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,12.450791
brew,brew_W02,2,5.1.2,5.1.3,0.826516,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,4.839591
brew,brew_W03,3,5.1.3,5.1.4,5.852824,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,7.517738
brew,brew_W04,4,5.1.4,5.1.5,1.677627,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,4.768640
brew,brew_W05,5,5.1.5,5.1.6,6.005602,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,8.991605
brew,brew_W06,6,5.1.6,5.1.7,4.531655,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,12.357516
brew,brew_W07,7,5.1.7,5.1.8,8.964560,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,6.358371
click,click_W01,1,8.1.6,8.1.7,29.892269,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.234174
click,click_W02,2,8.1.7,8.1.8,489.986620,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.122452
click,click_W03,3,8.1.8,8.2.0,142.217014,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.738308
click,click_W04,4,8.2.0,8.2.1,10.036273,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,1.793494
click,click_W05,5,8.2.1,8.2.2,70.225521,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.697752
click,click_W06,6,8.2.2,8.3.0,45.047836,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,1.642698
click,click_W07,7,8.3.0,8.3.1,63.623542,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.848742
curl,curl_W01,1,curl-8_14_0,curl-8_14_1,7.000139,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,6.857007
curl,curl_W02,2,curl-8_14_1,curl-8_15_0,42.027778,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,7.661599
curl,curl_W03,3,curl-8_15_0,curl-8_16_0,55.973414,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,7.682219
curl,curl_W04,4,curl-8_16_0,curl-8_17_0,56.053426,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,11.988562
curl,curl_W05,5,curl-8_17_0,curl-8_18_0,62.997975,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,11.619421
curl,curl_W06,6,curl-8_18_0,curl-8_19_0,62.992581,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,8.286690
curl,curl_W07,7,curl-8_19_0,curl-8_20_0,48.957523,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,10.274213
flask,flask_W01,1,3.0.0,3.0.1,110.230417,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.181438
flask,flask_W02,2,3.0.1,3.0.2,16.045394,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.249293
flask,flask_W03,3,3.0.2,3.0.3,63.928125,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.093855
flask,flask_W04,4,3.0.3,3.1.0,219.958657,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.313695
flask,flask_W05,5,3.1.0,3.1.1,180.856111,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.116114
flask,flask_W06,6,3.1.1,3.1.2,98.253426,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.203555
flask,flask_W07,7,3.1.2,3.1.3,183.332523,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.087273
gin,gin_W01,1,v1.8.1,v1.8.2,199.026215,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.020098
gin,gin_W02,2,v1.8.2,v1.9.0,60.820220,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.887863
gin,gin_W03,3,v1.9.0,v1.9.1,99.712361,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.110317
gin,gin_W04,4,v1.9.1,v1.10.0,341.039838,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.158339
gin,gin_W05,5,v1.10.0,v1.10.1,378.257002,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.002644
gin,gin_W06,6,v1.10.1,v1.11.0,123.086748,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.853057
gin,gin_W07,7,v1.11.0,v1.12.0,160.938507,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.410095
junit5,junit5_W01,1,r6.0.0,r5.14.1,31.270926,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,6.555610
junit5,junit5_W02,2,r5.14.1,r6.0.1,0.134826,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,4976.770538
junit5,junit5_W03,3,r6.0.1,r5.14.2,66.891331,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,4.260642
junit5,junit5_W04,4,r5.14.2,r6.0.2,0.034352,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,23433.962264
junit5,junit5_W05,5,r6.0.2,r5.14.3,39.870463,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,7.398961
junit5,junit5_W06,6,r5.14.3,r6.0.3,0.030324,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,26909.312977
junit5,junit5_W07,7,r6.0.3,r5.14.4,69.909537,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,4.419998
prettier,prettier_W01,1,3.7.1,3.7.2,1.393322,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,8.612512
prettier,prettier_W02,2,3.7.2,3.7.3,0.872280,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,8.024945
prettier,prettier_W03,3,3.7.3,3.7.4,3.445278,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,4.644038
prettier,prettier_W04,4,3.7.4,3.8.0,42.806169,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.443861
prettier,prettier_W05,5,3.8.0,3.8.1,6.741991,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,1.334917
prettier,prettier_W06,6,3.8.1,3.8.2,78.364560,primary,M3_commits_per_day,M3,M3 commits/day,commits per day,0.063804
prettier,prettier_W07,7,3.8.2,3.8.3,4.934525,sensitivity_only,M3_commits_per_day,M3,M3 commits/day,commits per day,1.621230
