metric_signal_id,metric_family,metric_label,unit,projects,projects_with_primary_n_ge_2,median_full_cv,median_primary_cv,median_full_adjacent_relative_change,median_primary_adjacent_relative_change,full_low_volatility_projects,full_moderate_volatility_projects,full_high_volatility_projects,primary_low_volatility_projects,primary_moderate_volatility_projects,primary_high_volatility_projects
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,10,10,0.013396,0.014392,0.005818,0.008826,10,0,0,10,0,0
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,10,10,1.208437,0.890454,0.816743,0.706218,1,3,6,1,3,6
M3_commits_per_day,M3,M3 commits/day,commits per day,10,10,0.876385,0.607560,0.783982,0.644292,1,4,5,2,4,4
M4_gini_churn,M4,M4 churn Gini,share inequality,10,10,0.424162,0.328938,0.336230,0.337441,4,4,2,5,3,2
M4_top1_share_churn,M4,M4 top-1 churn share,share,10,10,0.289279,0.235787,0.251280,0.208191,4,6,0,6,3,1
